file_name,line_number,exception,data
files/vial_audit/AuditTrail0_20180205_152108_SPAMI-PC.1.csv,4,unconverted data remains:  PM,"OrderedDict([('record_id', '0'), ('time_stamp', '2/5/2018 4:21:08 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Log files closed.'), ('comment', ''), ('check_sum', 'oaocwy')])"
files/vial_audit/AuditTrail0_20180202_082121_SPAMI-PC.1.csv,ALL,line contains NUL,
files/vial_audit/AuditTrail0_20180205_095344_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0e\x0e\x0e\x0e\x0f\x0e\x0f\x0f\x12\x13\x17\x13\x10\x0f\x0f\x0f\x0e\x11\x0f\x10\x10\x11\x10\x10\x10\x12\x12\x0f\x11\x10\x0f\x10\x0f\x0f\x0e'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180202_082121_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0e\x0e'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180205_094920_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0e\x10\x10\x0f\x10\x0f\x10\x11\x12\x10\x11\x0f\x0f\x0e\x0f\x0f\x0f'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
files/vial_audit/AuditTrail0_20180205_094927_SPAMI-PC.csv,2,unconverted data remains:  AM,"OrderedDict([('record_id', '0'), ('time_stamp', '2/5/2018 10:49:26 AM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Application'), ('description', ""New log file during run of WinCC Runtime Advanced V13.00 + SP01 HF9 on HMI device SPAMI-PC. Project: 'PSP511701V20.LKD - 0' Build 370, created with WinCC Advanced V13 SP2.""), ('comment', ''), ('check_sum', 'LrGdUo')])"
files/vial_audit/AuditTrail0_20180205_094927_SPAMI-PC.csv,3,unconverted data remains:  AM,"OrderedDict([('record_id', '57784'), ('time_stamp', '2/5/2018 10:49:26 AM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Exporting a log.'), ('comment', ''), ('check_sum', 'SczoZE')])"
files/vial_audit/AuditTrail0_20180205_094927_SPAMI-PC.csv,4,unconverted data remains:  AM,"OrderedDict([('record_id', '0'), ('time_stamp', '2/5/2018 10:49:27 AM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Log files closed.'), ('comment', ''), ('check_sum', 'SUarya')])"
files/vial_audit/AuditTrail0_20180131_133510_SPAMI-PC.1.csv,2,time data '1/31/2018 2:35:10 PM' does not match format '%d/%m/%Y %H:%M:%S',"OrderedDict([('record_id', '0'), ('time_stamp', '1/31/2018 2:35:10 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Application'), ('description', ""New log file during run of WinCC Runtime Advanced V13.00 + SP01 HF9 on HMI device SPAMI-PC. Project: 'PSP511701V16.LKD - 0' Build 230, created with WinCC Advanced V13 SP2.""), ('comment', ''), ('check_sum', 'KJtcsT')])"
files/vial_audit/AuditTrail0_20180131_133510_SPAMI-PC.1.csv,3,time data '1/31/2018 2:35:10 PM' does not match format '%d/%m/%Y %H:%M:%S',"OrderedDict([('record_id', '55489'), ('time_stamp', '1/31/2018 2:35:10 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Exporting a log.'), ('comment', ''), ('check_sum', 'y7MQs6')])"
files/vial_audit/AuditTrail0_20180131_133510_SPAMI-PC.1.csv,4,time data '1/31/2018 2:35:10 PM' does not match format '%d/%m/%Y %H:%M:%S',"OrderedDict([('record_id', '0'), ('time_stamp', '1/31/2018 2:35:10 PM'), ('delta_to_utc', '-1:00'), ('user_id', 'System'), ('object_id', 'Logs'), ('description', 'Log files closed.'), ('comment', ''), ('check_sum', 'czt/9T')])"
files/vial_audit/AuditTrail0_20180207_070723_SPAMI-PC.csv,ALL,"OrderedDict([('record_id', '\x0f'), ('time_stamp', None), ('delta_to_utc', None), ('user_id', None), ('object_id', None), ('description', None), ('comment', None), ('check_sum', None)])",
